"Time EST","Pressure (kPa)"
"2017-12-01 00:04","102.50"
"2017-12-01 00:14","102.52"
"2017-12-01 00:24","102.52"
"2017-12-01 00:34","102.51"
"2017-12-01 00:44","102.51"
"2017-12-01 00:54","102.53"
"2017-12-01 01:04","102.52"
"2017-12-01 01:14","102.54"
"2017-12-01 01:24","102.54"
"2017-12-01 01:34","102.56"
"2017-12-01 01:44","102.56"
"2017-12-01 01:54","102.57"
"2017-12-01 02:04","102.59"
"2017-12-01 02:14","102.59"
"2017-12-01 02:24","102.60"
"2017-12-01 02:34","102.61"
"2017-12-01 02:44","102.62"
"2017-12-01 02:54","102.62"
"2017-12-01 03:04","102.63"
"2017-12-01 03:14","102.62"
"2017-12-01 03:34","102.64"
"2017-12-01 03:54","102.64"
"2017-12-01 04:14","102.64"
"2017-12-01 04:34","102.65"
"2017-12-01 04:54","102.66"
"2017-12-01 05:14","102.68"
"2017-12-01 05:34","102.68"
"2017-12-01 05:54","102.70"
"2017-12-01 06:14","102.72"
"2017-12-01 06:34","102.73"
"2017-12-01 06:54","102.73"
"2017-12-01 07:14","102.74"
"2017-12-01 07:34","102.75"
"2017-12-01 07:54","102.75"
"2017-12-01 08:14","102.76"
"2017-12-01 08:34","102.78"
"2017-12-01 08:54","102.79"
"2017-12-01 09:14","102.79"
"2017-12-01 09:34","102.79"
"2017-12-01 09:54","102.79"
"2017-12-01 10:14","102.82"
"2017-12-01 10:34","102.84"
"2017-12-01 10:54","102.84"
"2017-12-01 11:14","102.83"
"2017-12-01 11:34","102.83"
"2017-12-01 11:54","102.82"
"2017-12-01 12:14","102.83"
"2017-12-01 12:34","102.81"
"2017-12-01 12:54","102.81"
"2017-12-01 13:14","102.81"
"2017-12-01 13:34","102.81"
"2017-12-01 13:44","102.80"
"2017-12-01 13:54","102.81"
"2017-12-01 14:04","102.81"
"2017-12-01 14:14","102.80"
"2017-12-01 14:24","102.80"
"2017-12-01 14:34","102.80"
"2017-12-01 14:44","102.80"
"2017-12-01 14:54","102.80"
"2017-12-01 15:04","102.80"
"2017-12-01 15:14","102.79"
"2017-12-01 15:24","102.79"
"2017-12-01 15:34","102.79"
"2017-12-01 15:44","102.79"
"2017-12-01 15:54","102.80"
"2017-12-01 16:04","102.80"
"2017-12-01 16:14","102.80"
"2017-12-01 16:24","102.80"
"2017-12-01 16:34","102.80"
"2017-12-01 16:44","102.79"
"2017-12-01 16:54","102.80"
"2017-12-01 17:04","102.80"
"2017-12-01 17:14","102.81"
"2017-12-01 17:24","102.81"
"2017-12-01 17:34","102.82"
"2017-12-01 17:44","102.83"
"2017-12-01 17:54","102.82"
"2017-12-01 18:04","102.82"
"2017-12-01 18:14","102.83"
"2017-12-01 18:24","102.82"
"2017-12-01 18:34","102.83"
"2017-12-01 18:44","102.84"
"2017-12-01 18:54","102.83"
"2017-12-01 19:04","102.83"
"2017-12-01 19:14","102.82"
"2017-12-01 19:24","102.83"
"2017-12-01 19:34","102.83"
"2017-12-01 19:44","102.83"
"2017-12-01 19:54","102.83"
"2017-12-01 20:04","102.83"
"2017-12-01 20:14","102.83"
"2017-12-01 20:24","102.83"
"2017-12-01 20:34","102.83"
"2017-12-01 20:44","102.83"
"2017-12-01 20:54","102.83"
"2017-12-01 21:04","102.83"
"2017-12-01 21:14","102.81"
"2017-12-01 21:24","102.81"
"2017-12-01 21:34","102.81"
"2017-12-01 21:44","102.81"
"2017-12-01 21:54","102.80"
"2017-12-01 22:04","102.81"
"2017-12-01 22:14","102.80"
"2017-12-01 22:24","102.81"
"2017-12-01 22:34","102.80"
"2017-12-01 22:44","102.80"
"2017-12-01 22:54","102.81"
"2017-12-01 23:04","102.81"
"2017-12-01 23:14","102.80"
"2017-12-01 23:24","102.80"
"2017-12-01 23:34","102.79"
"2017-12-01 23:44","102.79"
"2017-12-01 23:54","102.79"
"2017-12-02 00:04","102.80"
"2017-12-02 00:14","102.79"
"2017-12-02 00:24","102.79"
"2017-12-02 00:34","102.79"
"2017-12-02 00:44","102.79"
"2017-12-02 00:54","102.78"
"2017-12-02 01:04","102.78"
"2017-12-02 01:14","102.78"
"2017-12-02 01:24","102.79"
"2017-12-02 01:34","102.78"
"2017-12-02 01:44","102.77"
"2017-12-02 01:54","102.78"
"2017-12-02 02:04","102.79"
"2017-12-02 02:14","102.79"
"2017-12-02 02:24","102.79"
"2017-12-02 02:34","102.80"
"2017-12-02 02:44","102.80"
"2017-12-02 02:54","102.79"
"2017-12-02 03:04","102.80"
"2017-12-02 03:14","102.79"
"2017-12-02 03:24","102.79"
"2017-12-02 03:34","102.78"
"2017-12-02 03:44","102.78"
"2017-12-02 03:54","102.77"
"2017-12-02 04:04","102.76"
"2017-12-02 04:14","102.76"
"2017-12-02 04:24","102.76"
"2017-12-02 04:34","102.77"
"2017-12-02 04:44","102.77"
"2017-12-02 04:54","102.77"
"2017-12-02 05:04","102.77"
"2017-12-02 05:14","102.76"
"2017-12-02 05:24","102.77"
"2017-12-02 05:34","102.76"
"2017-12-02 05:44","102.76"
"2017-12-02 05:54","102.75"
"2017-12-02 06:04","102.75"
"2017-12-02 06:14","102.75"
"2017-12-02 06:24","102.75"
"2017-12-02 06:34","102.76"
"2017-12-02 06:44","102.75"
"2017-12-02 06:54","102.76"
"2017-12-02 07:04","102.76"
"2017-12-02 07:14","102.77"
"2017-12-02 07:24","102.77"
"2017-12-02 07:34","102.77"
"2017-12-02 07:44","102.77"
"2017-12-02 07:54","102.77"
"2017-12-02 08:04","102.77"
"2017-12-02 08:14","102.77"
"2017-12-02 08:24","102.77"
"2017-12-02 08:34","102.77"
"2017-12-02 08:44","102.77"
"2017-12-02 08:54","102.76"
"2017-12-02 09:04","102.76"
"2017-12-02 09:14","102.77"
"2017-12-02 09:24","102.77"
"2017-12-02 09:34","102.77"
"2017-12-02 09:44","102.77"
"2017-12-02 09:54","102.77"
"2017-12-02 10:04","102.77"
"2017-12-02 10:14","102.77"
"2017-12-02 10:24","102.76"
"2017-12-02 10:34","102.77"
"2017-12-02 10:44","102.76"
"2017-12-02 10:54","102.75"
"2017-12-02 11:04","102.75"
"2017-12-02 11:14","102.73"
"2017-12-02 11:24","102.72"
"2017-12-02 11:34","102.72"
"2017-12-02 11:44","102.71"
"2017-12-02 11:54","102.71"
"2017-12-02 12:04","102.70"
"2017-12-02 12:14","102.69"
"2017-12-02 12:24","102.68"
"2017-12-02 12:34","102.67"
"2017-12-02 12:44","102.67"
"2017-12-02 12:54","102.67"
"2017-12-02 13:04","102.66"
"2017-12-02 13:14","102.66"
"2017-12-02 13:24","102.66"
"2017-12-02 13:34","102.65"
"2017-12-02 13:44","102.65"
"2017-12-02 13:54","102.64"
"2017-12-02 14:04","102.64"
"2017-12-02 14:14","102.63"
"2017-12-02 14:24","102.64"
"2017-12-02 14:34","102.62"
"2017-12-02 14:44","102.63"
"2017-12-02 14:54","102.63"
"2017-12-02 15:04","102.63"
"2017-12-02 15:14","102.63"
"2017-12-02 15:24","102.64"
"2017-12-02 15:34","102.65"
"2017-12-02 15:44","102.64"
"2017-12-02 15:54","102.65"
"2017-12-02 16:04","102.64"
"2017-12-02 16:14","102.64"
"2017-12-02 16:24","102.64"
"2017-12-02 16:34","102.64"
"2017-12-02 16:44","102.64"
"2017-12-02 16:54","102.63"
"2017-12-02 17:04","102.64"
"2017-12-02 17:14","102.64"
"2017-12-02 17:24","102.64"
"2017-12-02 17:34","102.64"
"2017-12-02 17:44","102.64"
"2017-12-02 17:54","102.65"
"2017-12-02 18:04","102.66"
"2017-12-02 18:14","102.66"
"2017-12-02 18:24","102.66"
"2017-12-02 18:34","102.67"
"2017-12-02 18:44","102.66"
"2017-12-02 18:54","102.65"
"2017-12-02 19:04","102.64"
"2017-12-02 19:14","102.65"
"2017-12-02 19:24","102.64"
"2017-12-02 19:34","102.64"
"2017-12-02 19:44","102.63"
"2017-12-02 19:54","102.64"
"2017-12-02 20:04","102.64"
"2017-12-02 20:14","102.64"
"2017-12-02 20:24","102.64"
"2017-12-02 20:34","102.65"
"2017-12-02 20:44","102.64"
"2017-12-02 20:54","102.64"
"2017-12-02 21:04","102.64"
"2017-12-02 21:14","102.63"
"2017-12-02 21:24","102.63"
"2017-12-02 21:34","102.63"
"2017-12-02 21:44","102.63"
"2017-12-02 21:54","102.63"
"2017-12-02 22:04","102.63"
"2017-12-02 22:14","102.63"
"2017-12-02 22:24","102.63"
"2017-12-02 22:34","102.62"
"2017-12-02 22:44","102.63"
"2017-12-02 22:54","102.62"
"2017-12-02 23:04","102.63"
"2017-12-02 23:14","102.63"
"2017-12-02 23:24","102.63"
"2017-12-02 23:34","102.62"
"2017-12-02 23:44","102.62"
"2017-12-02 23:54","102.62"
"2017-12-03 00:04","102.62"
"2017-12-03 00:14","102.60"
"2017-12-03 00:24","102.60"
"2017-12-03 00:34","102.60"
"2017-12-03 00:44","102.60"
"2017-12-03 00:54","102.59"
"2017-12-03 01:04","102.59"
"2017-12-03 01:14","102.59"
"2017-12-03 01:24","102.59"
"2017-12-03 01:34","102.59"
"2017-12-03 01:44","102.59"
"2017-12-03 01:54","102.59"
"2017-12-03 02:04","102.59"
"2017-12-03 02:14","102.59"
"2017-12-03 02:24","102.59"
"2017-12-03 02:34","102.59"
"2017-12-03 02:44","102.59"
"2017-12-03 02:54","102.59"
"2017-12-03 03:04","102.59"
"2017-12-03 03:14","102.60"
"2017-12-03 03:24","102.59"
"2017-12-03 03:34","102.59"
"2017-12-03 03:44","102.58"
"2017-12-03 03:54","102.58"
"2017-12-03 04:04","102.59"
"2017-12-03 04:14","102.59"
"2017-12-03 04:24","102.59"
"2017-12-03 04:34","102.59"
"2017-12-03 04:44","102.59"
"2017-12-03 04:54","102.60"
"2017-12-03 05:04","102.60"
"2017-12-03 05:14","102.59"
"2017-12-03 05:24","102.60"
"2017-12-03 05:34","102.60"
"2017-12-03 05:44","102.60"
"2017-12-03 05:54","102.61"
"2017-12-03 06:04","102.61"
"2017-12-03 06:14","102.60"
"2017-12-03 06:24","102.61"
"2017-12-03 06:34","102.61"
"2017-12-03 06:44","102.60"
"2017-12-03 06:54","102.61"
"2017-12-03 07:04","102.61"
"2017-12-03 07:14","102.62"
"2017-12-03 07:24","102.62"
"2017-12-03 07:34","102.64"
"2017-12-03 07:44","102.64"
"2017-12-03 07:54","102.65"
"2017-12-03 08:04","102.64"
"2017-12-03 08:14","102.65"
"2017-12-03 08:24","102.65"
"2017-12-03 08:34","102.66"
"2017-12-03 08:44","102.66"
"2017-12-03 08:54","102.67"
"2017-12-03 09:04","102.68"
"2017-12-03 09:14","102.69"
"2017-12-03 09:24","102.68"
"2017-12-03 09:34","102.69"
"2017-12-03 09:44","102.69"
"2017-12-03 09:54","102.70"
"2017-12-03 10:04","102.70"
"2017-12-03 10:14","102.71"
"2017-12-03 10:24","102.72"
"2017-12-03 10:34","102.73"
"2017-12-03 10:44","102.73"
"2017-12-03 10:54","102.73"
"2017-12-03 11:04","102.73"
"2017-12-03 11:14","102.72"
"2017-12-03 11:24","102.73"
"2017-12-03 11:34","102.72"
"2017-12-03 11:44","102.73"
"2017-12-03 11:54","102.72"
"2017-12-03 12:04","102.72"
"2017-12-03 12:14","102.72"
"2017-12-03 12:24","102.72"
"2017-12-03 12:34","102.72"
"2017-12-03 12:44","102.72"
"2017-12-03 12:54","102.71"
"2017-12-03 13:04","102.71"
"2017-12-03 13:14","102.71"
"2017-12-03 13:24","102.71"
"2017-12-03 13:34","102.70"
"2017-12-03 13:44","102.70"
"2017-12-03 13:54","102.70"
"2017-12-03 14:04","102.71"
"2017-12-03 14:14","102.71"
"2017-12-03 14:24","102.70"
"2017-12-03 14:34","102.72"
"2017-12-03 14:44","102.72"
"2017-12-03 14:54","102.72"
