"Time EST","Pressure (kPa)"
"2018-03-01 00:00","98.76"
"2018-03-01 00:10","98.78"
"2018-03-01 00:20","98.78"
"2018-03-01 00:30","98.78"
"2018-03-01 00:40","98.78"
"2018-03-01 00:50","98.78"
"2018-03-01 01:00","98.81"
"2018-03-01 01:10","98.81"
"2018-03-01 01:20","98.83"
"2018-03-01 01:30","98.84"
"2018-03-01 01:40","98.85"
"2018-03-01 01:50","98.86"
"2018-03-01 02:00","98.88"
"2018-03-01 02:10","98.87"
"2018-03-01 02:20","98.87"
"2018-03-01 02:30","98.88"
"2018-03-01 02:40","98.88"
"2018-03-01 02:50","98.90"
"2018-03-01 03:00","98.90"
"2018-03-01 03:10","98.92"
"2018-03-01 03:20","98.92"
"2018-03-01 03:30","98.91"
"2018-03-01 03:40","98.91"
"2018-03-01 03:50","98.92"
"2018-03-01 04:00","98.93"
"2018-03-01 04:10","98.94"
"2018-03-01 04:20","98.94"
"2018-03-01 04:30","98.94"
"2018-03-01 04:40","98.93"
"2018-03-01 04:50","98.95"
"2018-03-01 05:00","98.96"
"2018-03-01 05:10","98.97"
"2018-03-01 05:20","98.97"
"2018-03-01 05:30","98.99"
"2018-03-01 05:40","98.99"
"2018-03-01 05:50","99.01"
"2018-03-01 06:00","99.01"
"2018-03-01 06:10","99.01"
"2018-03-01 06:20","99.02"
"2018-03-01 06:30","99.02"
"2018-03-01 06:40","99.02"
"2018-03-01 06:50","99.00"
"2018-03-01 07:00","99.01"
"2018-03-01 07:10","99.04"
"2018-03-01 07:20","99.07"
"2018-03-01 07:30","99.07"
"2018-03-01 08:30","99.16"
"2018-03-01 08:40","99.14"
"2018-03-01 08:50","99.17"
"2018-03-01 09:00","99.17"
"2018-03-01 09:10","99.19"
"2018-03-01 09:20","99.21"
"2018-03-01 09:30","99.19"
"2018-03-01 09:40","99.18"
"2018-03-01 09:50","99.20"
"2018-03-01 10:00","99.19"
"2018-03-01 10:10","99.19"
"2018-03-01 10:20","99.18"
"2018-03-01 10:30","99.16"
"2018-03-01 10:40","99.15"
"2018-03-01 10:50","99.13"
"2018-03-01 11:00","99.09"
"2018-03-01 11:10","99.08"
"2018-03-01 11:20","99.08"
"2018-03-01 11:30","99.04"
"2018-03-01 11:40","99.03"
"2018-03-01 11:50","99.02"
"2018-03-01 12:00","99.02"
"2018-03-01 12:10","99.00"
"2018-03-01 12:20","98.98"
"2018-03-01 12:30","99.00"
"2018-03-01 12:40","99.02"
"2018-03-01 12:50","99.03"
"2018-03-01 13:00","99.05"
"2018-03-01 13:10","99.04"
"2018-03-01 13:20","99.03"
"2018-03-01 13:30","99.02"
"2018-03-01 13:40","99.00"
"2018-03-01 13:50","98.98"
"2018-03-01 14:00","98.95"
"2018-03-01 14:10","98.96"
"2018-03-01 14:20","98.95"
"2018-03-01 14:30","98.94"
"2018-03-01 14:40","98.93"
"2018-03-01 14:50","98.90"
"2018-03-01 15:00","98.88"
"2018-03-01 15:10","98.88"
"2018-03-01 15:20","98.87"
"2018-03-01 15:30","98.86"
"2018-03-01 15:40","98.84"
"2018-03-01 15:50","98.83"
"2018-03-01 16:00","98.83"
"2018-03-01 16:10","98.82"
"2018-03-01 16:20","98.82"
"2018-03-01 16:30","98.80"
"2018-03-01 16:40","98.80"
"2018-03-01 16:50","98.81"
"2018-03-01 17:00","98.79"
"2018-03-01 17:10","98.81"
"2018-03-01 17:20","98.80"
"2018-03-01 17:30","98.80"
"2018-03-01 17:40","98.80"
"2018-03-01 17:50","98.80"
"2018-03-01 18:00","98.81"
"2018-03-01 18:10","98.82"
"2018-03-01 18:20","98.83"
"2018-03-01 18:30","98.84"
"2018-03-01 18:40","98.85"
"2018-03-01 18:50","98.86"
"2018-03-01 19:00","98.86"
"2018-03-01 19:10","98.86"
"2018-03-01 19:20","98.85"
"2018-03-01 19:30","98.87"
"2018-03-01 19:40","98.87"
"2018-03-01 19:50","98.88"
"2018-03-01 20:00","98.88"
"2018-03-01 20:10","98.88"
"2018-03-01 20:20","98.87"
"2018-03-01 20:30","98.87"
"2018-03-01 20:40","98.86"
"2018-03-01 20:50","98.85"
"2018-03-01 21:00","98.85"
"2018-03-01 21:10","98.85"
"2018-03-01 21:20","98.86"
"2018-03-01 21:30","98.87"
"2018-03-01 21:40","98.88"
"2018-03-01 21:50","98.90"
"2018-03-01 22:00","98.90"
"2018-03-01 22:10","98.89"
"2018-03-01 22:20","98.90"
"2018-03-01 22:30","98.89"
"2018-03-01 22:40","98.88"
"2018-03-01 22:50","98.87"
"2018-03-01 23:00","98.87"
"2018-03-01 23:10","98.88"
"2018-03-01 23:20","98.90"
"2018-03-01 23:30","98.90"
"2018-03-01 23:40","98.91"
"2018-03-01 23:50","98.90"
"2018-03-02 00:00","98.91"
"2018-03-02 00:10","98.91"
"2018-03-02 00:20","98.91"
"2018-03-02 00:30","98.91"
"2018-03-02 00:40","98.91"
"2018-03-02 00:50","98.92"
"2018-03-02 01:00","98.93"
"2018-03-02 01:10","98.92"
"2018-03-02 01:20","98.92"
"2018-03-02 01:30","98.91"
"2018-03-02 01:40","98.91"
"2018-03-02 01:50","98.91"
"2018-03-02 02:00","98.90"
"2018-03-02 02:10","98.91"
"2018-03-02 02:20","98.91"
"2018-03-02 02:30","98.91"
"2018-03-02 02:40","98.91"
"2018-03-02 02:50","98.92"
"2018-03-02 03:00","98.93"
"2018-03-02 03:10","98.93"
"2018-03-02 03:20","98.93"
"2018-03-02 03:30","98.94"
"2018-03-02 03:40","98.96"
"2018-03-02 03:50","98.96"
"2018-03-02 04:00","98.97"
"2018-03-02 04:10","98.97"
"2018-03-02 04:20","98.97"
"2018-03-02 04:30","98.98"
"2018-03-02 04:40","98.99"
"2018-03-02 04:50","99.00"
"2018-03-02 05:00","99.01"
"2018-03-02 05:10","99.03"
"2018-03-02 05:20","99.04"
"2018-03-02 05:30","99.07"
"2018-03-02 05:40","99.08"
"2018-03-02 05:50","99.10"
"2018-03-02 06:00","99.12"
"2018-03-02 06:10","99.14"
"2018-03-02 06:20","99.16"
"2018-03-02 06:30","99.17"
"2018-03-02 06:40","99.19"
"2018-03-02 06:50","99.19"
"2018-03-02 07:00","99.24"
"2018-03-02 07:10","99.25"
"2018-03-02 07:20","99.27"
"2018-03-02 07:30","99.28"
"2018-03-02 07:40","99.29"
"2018-03-02 07:50","99.30"
"2018-03-02 08:00","99.30"
"2018-03-02 08:10","99.32"
"2018-03-02 08:20","99.32"
"2018-03-02 08:30","99.32"
"2018-03-02 08:40","99.33"
"2018-03-02 08:50","99.33"
"2018-03-02 09:00","99.36"
"2018-03-02 09:10","99.36"
"2018-03-02 09:20","99.37"
"2018-03-02 09:30","99.38"
"2018-03-02 09:40","99.39"
"2018-03-02 09:50","99.39"
"2018-03-02 10:00","99.40"
"2018-03-02 10:10","99.39"
"2018-03-02 10:20","99.40"
"2018-03-02 10:30","99.41"
"2018-03-02 10:40","99.41"
"2018-03-02 10:50","99.41"
"2018-03-02 11:00","99.42"
"2018-03-02 11:10","99.42"
"2018-03-02 11:20","99.44"
"2018-03-02 11:30","99.44"
"2018-03-02 11:40","99.44"
"2018-03-02 11:50","99.46"
"2018-03-02 12:00","99.45"
"2018-03-02 12:10","99.46"
"2018-03-02 12:20","99.47"
"2018-03-02 12:30","99.47"
"2018-03-02 12:40","99.48"
"2018-03-02 12:50","99.49"
"2018-03-02 13:00","99.48"
"2018-03-02 13:10","99.49"
"2018-03-02 13:20","99.50"
"2018-03-02 13:30","99.51"
"2018-03-02 13:40","99.51"
"2018-03-02 13:50","99.52"
"2018-03-02 14:00","99.52"
"2018-03-02 14:10","99.54"
"2018-03-02 14:20","99.54"
"2018-03-02 14:30","99.56"
"2018-03-02 14:40","99.56"
"2018-03-02 14:50","99.58"
"2018-03-02 15:00","99.58"
"2018-03-02 15:10","99.60"
"2018-03-02 15:20","99.61"
"2018-03-02 15:30","99.62"
"2018-03-02 15:40","99.63"
"2018-03-02 15:50","99.64"
"2018-03-02 16:00","99.64"
"2018-03-02 16:10","99.65"
"2018-03-02 16:20","99.66"
"2018-03-02 16:30","99.68"
"2018-03-02 16:40","99.68"
"2018-03-02 16:50","99.70"
"2018-03-02 17:00","99.71"
"2018-03-02 17:10","99.73"
"2018-03-02 17:20","99.75"
"2018-03-02 17:30","99.77"
"2018-03-02 17:40","99.78"
"2018-03-02 17:50","99.79"
"2018-03-02 18:00","99.80"
"2018-03-02 18:10","99.80"
"2018-03-02 18:20","99.82"
"2018-03-02 18:30","99.85"
"2018-03-02 18:40","99.86"
"2018-03-02 18:50","99.88"
"2018-03-02 19:00","99.89"
"2018-03-02 19:10","99.91"
"2018-03-02 19:20","99.90"
"2018-03-02 19:30","99.92"
"2018-03-02 19:40","99.92"
"2018-03-02 19:50","99.93"
"2018-03-02 20:00","99.93"
"2018-03-02 20:10","99.93"
"2018-03-02 20:20","99.93"
"2018-03-02 20:30","99.93"
"2018-03-02 20:40","99.93"
"2018-03-02 20:50","99.95"
"2018-03-02 21:00","99.95"
"2018-03-02 21:10","99.93"
"2018-03-02 21:20","99.94"
"2018-03-02 21:30","99.94"
"2018-03-02 21:40","99.93"
"2018-03-02 21:50","99.93"
"2018-03-02 22:00","99.94"
"2018-03-02 22:10","99.94"
"2018-03-02 22:20","99.95"
"2018-03-02 22:30","99.95"
"2018-03-02 22:40","99.97"
"2018-03-02 22:50","99.95"
"2018-03-02 23:00","99.94"
"2018-03-02 23:10","99.96"
"2018-03-02 23:20","99.98"
"2018-03-02 23:30","99.98"
"2018-03-02 23:40","99.99"
"2018-03-02 23:50","99.98"
"2018-03-03 00:00","99.99"
"2018-03-03 00:10","100.00"
"2018-03-03 00:20","99.99"
"2018-03-03 00:30","100.02"
"2018-03-03 00:40","100.01"
"2018-03-03 00:50","100.04"
"2018-03-03 01:00","100.06"
"2018-03-03 01:10","100.06"
"2018-03-03 01:20","100.08"
"2018-03-03 01:30","100.11"
"2018-03-03 01:40","100.11"
"2018-03-03 01:50","100.11"
"2018-03-03 02:01","100.12"
"2018-03-03 02:10","100.13"
"2018-03-03 02:20","100.13"
"2018-03-03 02:30","100.16"
"2018-03-03 02:40","100.15"
"2018-03-03 02:50","100.17"
"2018-03-03 03:00","100.17"
"2018-03-03 03:10","100.17"
"2018-03-03 03:20","100.16"
"2018-03-03 03:30","100.18"
"2018-03-03 03:40","100.17"
"2018-03-03 03:50","100.19"
"2018-03-03 04:00","100.17"
"2018-03-03 04:10","100.19"
"2018-03-03 04:20","100.22"
"2018-03-03 04:30","100.22"
"2018-03-03 04:40","100.22"
"2018-03-03 04:50","100.23"
"2018-03-03 05:00","100.25"
"2018-03-03 05:10","100.25"
"2018-03-03 05:20","100.23"
"2018-03-03 05:30","100.25"
"2018-03-03 05:40","100.26"
"2018-03-03 05:50","100.26"
"2018-03-03 06:00","100.26"
"2018-03-03 06:10","100.29"
"2018-03-03 06:20","100.30"
"2018-03-03 06:30","100.31"
"2018-03-03 06:40","100.32"
"2018-03-03 06:50","100.32"
"2018-03-03 07:00","100.33"
"2018-03-03 07:10","100.32"
"2018-03-03 07:20","100.35"
"2018-03-03 07:30","100.34"
"2018-03-03 07:40","100.34"
"2018-03-03 07:50","100.36"
"2018-03-03 08:00","100.36"
"2018-03-03 08:10","100.37"
"2018-03-03 08:20","100.36"
"2018-03-03 08:30","100.38"
"2018-03-03 08:40","100.39"
"2018-03-03 08:50","100.39"
"2018-03-03 09:00","100.39"
"2018-03-03 09:10","100.39"
"2018-03-03 09:20","100.41"
"2018-03-03 09:30","100.41"
"2018-03-03 09:40","100.42"
"2018-03-03 09:50","100.42"
"2018-03-03 10:00","100.43"
"2018-03-03 10:10","100.43"
"2018-03-03 10:20","100.44"
"2018-03-03 10:30","100.44"
"2018-03-03 10:40","100.44"
"2018-03-03 10:50","100.43"
"2018-03-03 11:00","100.45"
"2018-03-03 11:10","100.45"
"2018-03-03 11:20","100.45"
"2018-03-03 11:30","100.46"
"2018-03-03 11:40","100.47"
"2018-03-03 11:50","100.46"
"2018-03-03 12:00","100.45"
"2018-03-03 12:10","100.44"
"2018-03-03 12:20","100.45"
"2018-03-03 12:30","100.45"
"2018-03-03 12:40","100.46"
"2018-03-03 12:50","100.46"
"2018-03-03 13:00","100.46"
"2018-03-03 13:10","100.46"
"2018-03-03 13:20","100.45"
"2018-03-03 13:30","100.45"
"2018-03-03 13:40","100.45"
"2018-03-03 13:50","100.44"
"2018-03-03 14:00","100.44"
"2018-03-03 14:10","100.43"
"2018-03-03 14:20","100.42"
"2018-03-03 14:30","100.43"
"2018-03-03 14:40","100.43"
"2018-03-03 14:50","100.42"
"2018-03-03 15:00","100.42"
"2018-03-03 15:10","100.41"
"2018-03-03 15:20","100.41"
"2018-03-03 15:30","100.42"
"2018-03-03 15:40","100.42"
"2018-03-03 15:50","100.41"
"2018-03-03 16:00","100.40"
"2018-03-03 16:10","100.40"
"2018-03-03 16:20","100.40"
"2018-03-03 16:30","100.40"
"2018-03-03 16:40","100.41"
"2018-03-03 16:50","100.41"
"2018-03-03 17:00","100.42"
"2018-03-03 17:10","100.43"
"2018-03-03 17:21","100.42"
"2018-03-03 17:30","100.42"
"2018-03-03 17:40","100.43"
"2018-03-03 17:50","100.44"
"2018-03-03 18:00","100.44"
"2018-03-03 18:10","100.44"
"2018-03-03 18:20","100.44"
"2018-03-03 18:30","100.45"
"2018-03-03 18:40","100.46"
"2018-03-03 18:50","100.46"
"2018-03-03 19:00","100.48"
"2018-03-03 19:10","100.48"
"2018-03-03 19:20","100.48"
"2018-03-03 19:30","100.48"
"2018-03-03 19:40","100.47"
"2018-03-03 19:50","100.48"
"2018-03-03 20:00","100.48"
"2018-03-03 20:10","100.49"
"2018-03-03 20:20","100.51"
"2018-03-03 20:30","100.50"
"2018-03-03 20:40","100.48"
"2018-03-03 20:50","100.50"
"2018-03-03 21:00","100.50"
"2018-03-03 21:10","100.50"
"2018-03-03 21:20","100.50"
"2018-03-03 21:30","100.50"
"2018-03-03 21:40","100.49"
"2018-03-03 21:50","100.50"
"2018-03-03 22:00","100.48"
"2018-03-03 22:10","100.49"
"2018-03-03 22:20","100.48"
"2018-03-03 22:30","100.49"
"2018-03-03 22:40","100.50"
"2018-03-03 22:50","100.50"
"2018-03-03 23:00","100.49"
"2018-03-03 23:10","100.49"
"2018-03-03 23:20","100.51"
"2018-03-03 23:30","100.50"
"2018-03-03 23:40","100.51"
"2018-03-03 23:50","100.51"
"2018-03-04 00:00","100.51"
"2018-03-04 00:10","100.51"
"2018-03-04 00:20","100.52"
"2018-03-04 00:30","100.52"
"2018-03-04 00:40","100.52"
"2018-03-04 00:50","100.52"
"2018-03-04 01:00","100.52"
"2018-03-04 01:10","100.52"
"2018-03-04 01:20","100.52"
"2018-03-04 01:30","100.52"
"2018-03-04 01:40","100.52"
"2018-03-04 01:50","100.53"
"2018-03-04 02:00","100.53"
"2018-03-04 02:10","100.52"
"2018-03-04 02:20","100.52"
"2018-03-04 02:30","100.52"
"2018-03-04 02:40","100.53"
"2018-03-04 02:50","100.52"
"2018-03-04 03:00","100.52"
"2018-03-04 03:10","100.52"
"2018-03-04 03:20","100.53"
"2018-03-04 03:30","100.54"
"2018-03-04 03:40","100.54"
"2018-03-04 03:50","100.54"
"2018-03-04 04:00","100.53"
"2018-03-04 04:10","100.54"
"2018-03-04 04:20","100.54"
"2018-03-04 04:30","100.54"
"2018-03-04 04:40","100.54"
"2018-03-04 04:50","100.54"
"2018-03-04 05:00","100.55"
"2018-03-04 05:10","100.55"
"2018-03-04 05:20","100.56"
"2018-03-04 05:30","100.57"
"2018-03-04 05:40","100.57"
"2018-03-04 05:50","100.58"
"2018-03-04 06:00","100.58"
"2018-03-04 06:10","100.59"
"2018-03-04 06:20","100.60"
"2018-03-04 06:30","100.60"
"2018-03-04 06:40","100.59"
"2018-03-04 06:50","100.59"
"2018-03-04 07:00","100.59"
"2018-03-04 07:10","100.61"
"2018-03-04 07:20","100.61"
"2018-03-04 07:30","100.59"
"2018-03-04 07:40","100.59"
"2018-03-04 07:50","100.59"
"2018-03-04 08:00","100.61"
"2018-03-04 08:10","100.60"
"2018-03-04 08:20","100.60"
"2018-03-04 08:30","100.60"
"2018-03-04 08:40","100.61"
"2018-03-04 08:50","100.60"
"2018-03-04 09:00","100.60"
"2018-03-04 09:10","100.60"
"2018-03-04 09:20","100.60"
"2018-03-04 09:30","100.60"
"2018-03-04 09:40","100.59"
"2018-03-04 09:50","100.60"
"2018-03-04 10:00","100.58"
"2018-03-04 10:10","100.57"
"2018-03-04 10:20","100.57"
"2018-03-04 10:30","100.56"
"2018-03-04 10:40","100.55"
"2018-03-04 10:50","100.53"
"2018-03-04 11:00","100.52"
"2018-03-04 11:10","100.52"
"2018-03-04 11:20","100.50"
"2018-03-04 11:30","100.50"
"2018-03-04 11:40","100.47"
"2018-03-04 11:50","100.47"
"2018-03-04 12:00","100.44"
"2018-03-04 12:10","100.44"
"2018-03-04 12:20","100.44"
"2018-03-04 12:30","100.42"
"2018-03-04 12:40","100.40"
"2018-03-04 12:50","100.38"
"2018-03-04 13:00","100.37"
"2018-03-04 13:10","100.35"
"2018-03-04 13:20","100.36"
"2018-03-04 13:30","100.35"
"2018-03-04 13:40","100.35"
"2018-03-04 13:50","100.33"
"2018-03-04 14:00","100.32"
"2018-03-04 14:10","100.31"
"2018-03-04 14:20","100.29"
"2018-03-04 14:30","100.30"
"2018-03-04 14:40","100.28"
"2018-03-04 14:50","100.28"
"2018-03-04 15:00","100.28"
"2018-03-04 15:10","100.28"
"2018-03-04 15:20","100.28"
"2018-03-04 15:30","100.27"
"2018-03-04 15:40","100.27"
"2018-03-04 15:50","100.28"
"2018-03-04 16:00","100.28"
"2018-03-04 16:10","100.27"
"2018-03-04 16:20","100.28"
"2018-03-04 16:30","100.27"
"2018-03-04 16:40","100.28"
"2018-03-04 16:50","100.29"
"2018-03-04 17:00","100.28"
"2018-03-04 17:10","100.29"
"2018-03-04 17:20","100.29"
"2018-03-04 17:30","100.30"
"2018-03-04 17:40","100.30"
"2018-03-04 17:50","100.31"
"2018-03-04 18:00","100.30"
"2018-03-04 18:10","100.30"
"2018-03-04 18:20","100.31"
"2018-03-04 18:30","100.31"
"2018-03-04 18:40","100.30"
"2018-03-04 18:50","100.31"
"2018-03-04 19:00","100.32"
"2018-03-04 19:10","100.32"
"2018-03-04 19:20","100.33"
"2018-03-04 19:30","100.33"
"2018-03-04 19:40","100.32"
"2018-03-04 19:50","100.33"
"2018-03-04 20:00","100.35"
"2018-03-04 20:10","100.35"
"2018-03-04 20:20","100.36"
"2018-03-04 20:30","100.35"
"2018-03-04 20:40","100.35"
"2018-03-04 20:50","100.35"
"2018-03-04 21:00","100.34"
"2018-03-04 21:10","100.35"
"2018-03-04 21:20","100.35"
"2018-03-04 21:30","100.34"
"2018-03-04 21:40","100.34"
"2018-03-04 21:50","100.34"
"2018-03-04 22:00","100.33"
"2018-03-04 22:10","100.34"
"2018-03-04 22:20","100.31"
"2018-03-04 22:30","100.32"
"2018-03-04 22:40","100.31"
"2018-03-04 22:50","100.32"
"2018-03-04 23:00","100.30"
"2018-03-04 23:10","100.30"
"2018-03-04 23:20","100.29"
"2018-03-04 23:30","100.28"
"2018-03-04 23:40","100.29"
"2018-03-04 23:50","100.28"
"2018-03-05 00:00","100.27"
"2018-03-05 00:10","100.27"
"2018-03-05 00:20","100.26"
"2018-03-05 00:30","100.25"
"2018-03-05 00:40","100.25"
"2018-03-05 00:50","100.26"
"2018-03-05 01:00","100.25"
"2018-03-05 01:10","100.24"
"2018-03-05 01:20","100.24"
"2018-03-05 01:30","100.25"
"2018-03-05 01:40","100.24"
"2018-03-05 01:50","100.23"
"2018-03-05 02:00","100.24"
"2018-03-05 02:10","100.24"
"2018-03-05 02:20","100.24"
"2018-03-05 02:30","100.24"
"2018-03-05 02:40","100.24"
"2018-03-05 02:50","100.23"
"2018-03-05 03:00","100.23"
"2018-03-05 03:10","100.20"
"2018-03-05 03:20","100.20"
"2018-03-05 03:30","100.19"
"2018-03-05 03:40","100.18"
"2018-03-05 03:50","100.18"
"2018-03-05 04:00","100.17"
"2018-03-05 04:10","100.18"
"2018-03-05 04:20","100.17"
"2018-03-05 04:30","100.16"
"2018-03-05 04:40","100.16"
"2018-03-05 04:50","100.15"
"2018-03-05 05:00","100.14"
"2018-03-05 05:10","100.15"
"2018-03-05 05:20","100.15"
"2018-03-05 05:30","100.15"
"2018-03-05 05:40","100.15"
"2018-03-05 05:50","100.14"
"2018-03-05 06:00","100.15"
"2018-03-05 06:10","100.14"
"2018-03-05 06:20","100.14"
"2018-03-05 06:30","100.15"
"2018-03-05 06:40","100.16"
"2018-03-05 06:50","100.17"
"2018-03-05 07:00","100.17"
"2018-03-05 07:10","100.17"
"2018-03-05 07:20","100.16"
"2018-03-05 07:30","100.16"
"2018-03-05 07:40","100.16"
"2018-03-05 07:50","100.16"
"2018-03-05 08:00","100.16"
"2018-03-05 08:10","100.15"
"2018-03-05 08:20","100.14"
"2018-03-05 08:30","100.13"
"2018-03-05 08:40","100.14"
"2018-03-05 08:50","100.12"
"2018-03-05 09:00","100.13"
"2018-03-05 09:10","100.13"
"2018-03-05 09:20","100.13"
"2018-03-05 09:30","100.11"
"2018-03-05 09:40","100.10"
"2018-03-05 09:50","100.10"
"2018-03-05 10:00","100.10"
"2018-03-05 10:10","100.09"
"2018-03-05 10:20","100.08"
"2018-03-05 10:30","100.08"
"2018-03-05 10:40","100.07"
"2018-03-05 10:50","100.07"
"2018-03-05 11:00","100.09"
"2018-03-05 11:10","100.07"
"2018-03-05 11:20","100.07"
"2018-03-05 11:30","100.06"
"2018-03-05 11:40","100.05"
"2018-03-05 11:50","100.04"
"2018-03-05 12:00","100.03"
"2018-03-05 12:10","100.02"
"2018-03-05 12:20","100.02"
"2018-03-05 12:30","100.02"
"2018-03-05 12:40","100.01"
"2018-03-05 12:50","100.01"
"2018-03-05 13:00","100.00"
"2018-03-05 13:10","99.99"
"2018-03-05 13:20","99.98"
"2018-03-05 13:30","99.97"
"2018-03-05 13:40","99.95"
"2018-03-05 13:50","99.93"
"2018-03-05 14:00","99.90"
"2018-03-05 14:10","99.90"
"2018-03-05 14:20","99.90"
"2018-03-05 14:30","99.89"
"2018-03-05 14:40","99.89"
"2018-03-05 14:50","99.88"
"2018-03-05 15:00","99.89"
"2018-03-05 15:10","99.90"
"2018-03-05 15:20","99.90"
"2018-03-05 15:30","99.89"
"2018-03-05 15:40","99.89"
"2018-03-05 15:50","99.89"
"2018-03-05 16:00","99.90"
"2018-03-05 16:10","99.89"
"2018-03-05 16:20","99.89"
"2018-03-05 16:30","99.88"
"2018-03-05 16:40","99.87"
"2018-03-05 16:50","99.86"
"2018-03-05 17:00","99.85"
"2018-03-05 17:10","99.82"
"2018-03-05 17:20","99.82"
"2018-03-05 17:30","99.81"
"2018-03-05 17:40","99.81"
"2018-03-05 17:50","99.81"
"2018-03-05 18:00","99.83"
"2018-03-05 18:10","99.82"
"2018-03-05 18:20","99.81"
"2018-03-05 18:30","99.83"
"2018-03-05 18:40","99.80"
"2018-03-05 18:50","99.79"
"2018-03-05 19:00","99.78"
"2018-03-05 19:10","99.76"
"2018-03-05 19:20","99.75"
"2018-03-05 19:30","99.74"
"2018-03-05 19:40","99.74"
"2018-03-05 19:50","99.73"
"2018-03-05 20:00","99.72"
"2018-03-05 20:10","99.72"
"2018-03-05 20:20","99.72"
"2018-03-05 20:30","99.72"
"2018-03-05 20:40","99.71"
"2018-03-05 20:50","99.71"
"2018-03-05 21:00","99.71"
"2018-03-05 21:10","99.68"
"2018-03-05 21:20","99.68"
"2018-03-05 21:30","99.68"
"2018-03-05 21:40","99.68"
"2018-03-05 21:50","99.70"
"2018-03-05 22:00","99.68"
"2018-03-05 22:10","99.66"
"2018-03-05 22:20","99.63"
"2018-03-05 22:30","99.62"
"2018-03-05 22:40","99.62"
"2018-03-05 22:50","99.62"
"2018-03-05 23:00","99.61"
"2018-03-05 23:10","99.60"
"2018-03-05 23:20","99.58"
"2018-03-05 23:30","99.57"
"2018-03-05 23:40","99.58"
"2018-03-05 23:50","99.56"
"2018-03-06 00:00","99.54"
"2018-03-06 00:10","99.56"
"2018-03-06 00:20","99.56"
"2018-03-06 00:30","99.54"
"2018-03-06 00:40","99.55"
"2018-03-06 00:50","99.55"
"2018-03-06 01:00","99.54"
"2018-03-06 01:10","99.53"
"2018-03-06 01:20","99.52"
"2018-03-06 01:30","99.52"
"2018-03-06 01:40","99.51"
"2018-03-06 01:50","99.51"
"2018-03-06 02:00","99.50"
"2018-03-06 02:10","99.49"
"2018-03-06 02:20","99.49"
"2018-03-06 02:30","99.46"
"2018-03-06 02:40","99.45"
"2018-03-06 02:50","99.45"
"2018-03-06 03:00","99.44"
"2018-03-06 03:10","99.40"
"2018-03-06 03:20","99.40"
"2018-03-06 03:30","99.40"
"2018-03-06 03:40","99.39"
"2018-03-06 03:50","99.37"
"2018-03-06 04:00","99.36"
"2018-03-06 04:10","99.36"
"2018-03-06 04:20","99.36"
"2018-03-06 04:30","99.35"
"2018-03-06 04:40","99.34"
"2018-03-06 04:50","99.33"
"2018-03-06 05:00","99.33"
"2018-03-06 05:10","99.32"
"2018-03-06 05:20","99.33"
"2018-03-06 05:30","99.31"
"2018-03-06 05:40","99.32"
"2018-03-06 05:50","99.31"
"2018-03-06 06:00","99.29"
"2018-03-06 06:10","99.28"
"2018-03-06 06:20","99.29"
"2018-03-06 06:30","99.26"
"2018-03-06 06:40","99.27"
"2018-03-06 06:50","99.27"
"2018-03-06 07:00","99.26"
"2018-03-06 07:10","99.25"
"2018-03-06 07:20","99.24"
"2018-03-06 07:30","99.24"
"2018-03-06 07:40","99.22"
"2018-03-06 07:50","99.24"
"2018-03-06 08:00","99.21"
"2018-03-06 08:10","99.19"
"2018-03-06 08:20","99.19"
"2018-03-06 08:30","99.17"
"2018-03-06 08:40","99.17"
"2018-03-06 08:50","99.18"
"2018-03-06 09:00","99.15"
"2018-03-06 09:10","99.14"
"2018-03-06 09:20","99.11"
"2018-03-06 09:30","99.10"
"2018-03-06 09:40","99.09"
"2018-03-06 09:50","99.08"
"2018-03-06 10:00","99.07"
"2018-03-06 10:10","99.06"
"2018-03-06 10:20","99.04"
"2018-03-06 10:30","99.03"
"2018-03-06 10:40","99.02"
"2018-03-06 10:50","99.00"
"2018-03-06 11:00","98.98"
"2018-03-06 11:10","98.95"
"2018-03-06 11:20","98.94"
"2018-03-06 11:30","98.93"
"2018-03-06 11:40","98.92"
"2018-03-06 11:50","98.88"
"2018-03-06 12:00","98.86"
"2018-03-06 12:10","98.83"
"2018-03-06 12:20","98.83"
"2018-03-06 12:30","98.82"
"2018-03-06 12:40","98.79"
"2018-03-06 12:50","98.78"
"2018-03-06 13:00","98.77"
"2018-03-06 13:10","98.75"
"2018-03-06 13:20","98.71"
"2018-03-06 13:30","98.69"
"2018-03-06 13:40","98.69"
"2018-03-06 13:50","98.68"
"2018-03-06 14:00","98.68"
"2018-03-06 14:10","98.65"
"2018-03-06 14:20","98.64"
"2018-03-06 14:30","98.64"
"2018-03-06 14:40","98.63"
"2018-03-06 14:50","98.63"
"2018-03-06 15:00","98.59"
"2018-03-06 15:10","98.59"
"2018-03-06 15:20","98.59"
"2018-03-06 15:30","98.58"
"2018-03-06 15:40","98.57"
"2018-03-06 15:50","98.56"
"2018-03-06 16:00","98.56"
"2018-03-06 16:10","98.54"
"2018-03-06 16:20","98.54"
"2018-03-06 16:30","98.53"
"2018-03-06 16:40","98.52"
"2018-03-06 16:50","98.51"
"2018-03-06 17:00","98.53"
"2018-03-06 17:10","98.53"
"2018-03-06 17:20","98.53"
"2018-03-06 17:30","98.53"
"2018-03-06 17:40","98.50"
